lat,lon,direction
39.9139598,-104.9871141,31-76
39.6105711,-105.0992211,270
39.9038821,-104.9864216,50-95
39.5951777,-105.0438874,84
39.6072901,-105.03836,106
39.8620016,-105.0501805,79
39.8631898,-105.0475463,200
39.649922,-104.9875533,349
39.6343751,-104.9879917,172
39.6249421,-104.9878113,343
39.6080447,-104.7571034,268-313
39.7342824,-105.164246,294-339
39.6788923,-104.843475,242-287
39.6788923,-104.843475,242-287
39.6598146,-104.9877465,177
39.5361353,-104.87317,166
39.5364529,-104.872779,337
39.7402403,-104.8787815,247
39.7400859,-104.8787527,70
39.7387332,-105.0766672,0
39.7386336,-105.0766687,180
39.7401332,-105.0767845,156
39.7405162,-105.0765949,344
39.7993075,-105.0545637,261
39.6245303,-104.922649,0
39.6315571,-104.9230968,277
39.6820034,-104.832122,150
39.6819954,-104.8334282,160
39.6819035,-104.8354987,270
39.6815688,-104.836182,60
39.6058799,-104.7344714,206
39.6045364,-105.0398146,78
39.6477148,-105.0252197,80
39.7933189,-105.0824635,165
39.6748321,-104.8267382,93
39.6747986,-104.8267208,89
39.6747655,-104.8267057,86
39.5637411,-104.8656799,145
39.9513096,-104.7884579,69
39.9512205,-104.7861264,291
39.9505318,-104.7884551,54
39.9505988,-104.786137,255
39.6361191,-104.7917249,260
39.737105,-105.1559151,110
39.5955961,-104.8760381,330
39.5930844,-104.7428322,317-2
39.5973616,-104.7025791,138-183
39.5972224,-104.7023824,246-291
39.5281202,-104.9873113,320
39.8336584,-104.7320638,93
39.5495842,-104.9937343,241
39.7032265,-104.9129554,103-148
39.7398922,-104.9034204,44-89
39.6243482,-104.9692696,21
39.8111994,-104.9034704,354-39
39.8019548,-105.0780795,79
39.7911959,-105.1045095,74
39.8128352,-105.0547253,250
39.8666987,-105.1891336,136
39.8000669,-105.1379006,350
39.7345446,-105.1594277,143
39.7359329,-105.1548895,225
39.7312472,-105.2074394,65
39.7401405,-105.1002158,165
39.7678451,-105.2347315,56
39.7547867,-105.0672203,65
39.733651,-105.1617882,306
39.8363712,-104.715262,69
39.8365581,-104.7152153,245
39.7342439,-105.1634855,62
39.7402895,-104.9035675,268
39.8433055,-105.0827798,
39.7620645,-104.7908554,221
39.7618049,-104.7909153,238
39.6173152,-105.0928713,253
39.7402248,-104.9408726,247
39.7400755,-104.9405649,79
39.7402209,-104.9128477,268
39.6238741,-105.1102686,142-187
39.6555734,-104.9636746,158
39.6947068,-105.1472976,71;132;189;0;0
39.7616088,-104.9403874,18-63
39.7555296,-104.7914968,80
39.7729512,-104.7837672,158
39.7728157,-104.7897648,257
39.7308612,-105.1626332,146
39.7295065,-105.1620239,111
39.7297554,-105.1645026,113
39.7299591,-105.1634931,350
39.7208764,-105.0806012,0
39.6967676,-105.0016676,252
39.5617122,-104.9897374,223
39.7839221,-104.8096173,351
39.7984497,-104.809752,257
39.7984847,-104.7720386,0
39.7617782,-104.7721274,0
39.7644135,-104.7723412,173
39.7399275,-105.0028428,174
39.674393,-104.783672,0
39.6741697,-104.7814928,338
39.7402279,-104.9257824,227
39.7412086,-105.1184529,80
39.7405456,-105.1165773,30
39.7411906,-105.114573,275
39.7400713,-104.9297352,81
39.5733449,-104.6790509,54
39.5785281,-104.7559653,239
39.7694349,-104.9007338,269
39.7694608,-104.9022073,11
39.7694068,-104.902339,101
39.7673926,-104.903421,197
39.6572312,-104.9828815,83
39.7193738,-104.9579955,84
39.7823226,-104.8471666,151
39.7527153,-104.9945356,5
39.721014,-104.9511428,111
39.7570839,-104.9929586,155
39.7857681,-104.883345,238
39.7473855,-104.8493144,75
39.7474442,-104.8494209,229
39.7543554,-104.8470069,155
39.7583523,-105.0660774,197
39.7068929,-104.9954261,75
39.7058306,-104.9935057,325
39.7058425,-104.9925279,335
39.8335718,-104.7320793,67
39.8054754,-104.9311399,79
39.8095784,-104.9311411,80
39.8477746,-105.0820362,160
39.9004393,-105.1369166,300
39.9005573,-105.1366269,226
39.7024609,-105.2447174,315
39.8489259,-104.9840047,81
39.7402184,-105.0814864,179;186
39.6097401,-104.7445746,0
39.6969716,-105.0532092,344
39.7012167,-104.827135,240
39.7073655,-105.2527614,0
39.8853246,-105.0200681,240
39.7399477,-104.8472317,156
39.7400158,-104.8468055,63
39.740346,-104.8469006,345
39.7403359,-104.8472448,241
39.7329394,-104.8472543,143
39.7330345,-104.8471409,339
39.7256741,-104.8430714,64
39.7257493,-104.8504973,244
39.5562128,-105.1090274,210
39.5568179,-105.109547,210
39.7240478,-105.0807078,145
39.6823457,-104.8885193,65
39.6826681,-104.8889635,16
39.6530177,-104.9317118,160
39.8093408,-104.9220604,343
39.8127728,-104.9222504,116
39.8135488,-104.9221251,0
39.8127216,-104.9267424,80
39.8232399,-104.9200641,231
39.7098979,-104.8895633,18
39.7102534,-104.8899061,316
39.7102386,-104.8899003,143
39.7859727,-104.7719696,198
39.7858315,-104.7722833,0
39.6824528,-104.831434,348
39.5592139,-104.9589055,180
39.559187,-104.959129,130
39.8853065,-104.9776294,335
39.8129529,-104.9130782,207-252
39.9489702,-105.0350977,70
39.6668482,-105.1158651,250
39.6670199,-105.1184103,294
39.7109089,-105.0862769,186
39.7071026,-105.081671,276
39.6265213,-104.7338815,169
39.9599701,-105.1692951,333
39.8146639,-105.0534906,151
39.6883568,-104.6979313,119
39.6871291,-104.699305,0
39.6826751,-104.7034135,45
